LOCATION,USER_ID,PRODUCT_DATE,INDUSTRY,PRODUCT_ID
IT,10003,27/07/2016,Master Card,RP385 
IT,10003,27/03/2016,Master Card,RP385 
IT,10003,27/09/2016,Master Card,RP385 
IT,10003,03/01/2016,Master Card,RP385 
IT,10003,01/04/2016,Master Card,RP385 
IT,10003,01/03/2016,Master Card,RP385 
DE,10007,27/02/2016,VISA,WE349 
IT,10015,05/08/2016,VISA,WE352 
IT,10015,27/02/2016,VISA,WE352 
IT,10015,10/05/2016,VISA,WE352 
IT,10015,20/08/2016,VISA,WE352 
ES,10019,20/02/2016,Discover,SE208 
ES,10019,20/08/2016,Discover,SE208 
ES,10019,27/03/2016,Discover,SE208 
ES,10019,27/07/2016,Discover,SE208 
ES,10019,10/03/2016,Discover,SE208 
ES,10027,20/12/2016,VISA,SW409 
ES,10027,25/11/2016,VISA,SW409 
ES,10027,23/07/2016,VISA,SW409 
ES,10027,14/11/2016,VISA,SW409 
US,10031,15/01/2016,American Express,SW274 
IT,10035,15/07/2016,Discover,SW412 
US,10039,20/12/2016,Master Card,NW247 
US,10039,19/12/2016,Master Card,NW247 
US,10039,30/05/2016,Master Card,NW247 
IT,10047,15/06/2016,VISA,NE373 
US,10051,10/09/2016,American Express,WE418 
US,10051,03/12/2016,American Express,WE418 
US,10051,20/12/2016,American Express,WE418 
US,10051,01/07/2016,American Express,WE418 
US,10051,15/06/2016,American Express,WE418 
US,10051,12/12/2016,American Express,WE418 
US,10051,25/04/2016,American Express,WE418 
ES,10055,25/04/2016,Diners Club,SE205 
ES,10055,25/04/2016,Diners Club,SE205 
ES,10055,27/10/2016,Diners Club,SE205 
ES,10059,30/03/2016,VISA,WE421 
ES,10059,15/12/2016,VISA,WE421 
US,10063,30/05/2016,Diners Club,WE154 
US,10063,09/09/2016,Diners Club,WE154 
US,10063,19/12/2016,Diners Club,WE154 
ES,10067,10/09/2016,VISA,NC292 
ES,10067,03/01/2016,VISA,NC292 
US,10075,27/02/2016,JCB,SC262 
US,10075,25/12/2016,JCB,SC262 
US,10075,01/03/2016,JCB,SC262 
CA,10079,30/04/2016,American Express,NE172 
IT,10083,27/12/2016,JCB,SE268 
US,10091,27/12/2016,American Express,SC322 
US,10091,07/03/2016,American Express,SC322 
US,10091,30/11/2016,American Express,SC322 
US,10095,27/02/2016,Diners Club,WE154 
US,10095,10/06/2016,Diners Club,WE154 
US,10095,12/12/2016,Diners Club,WE154 
US,10095,23/07/2016,Diners Club,WE154 
US,10095,01/03/2016,Diners Club,WE154 
IT,10099,20/06/2016,Diners Club,RP385 
AU,10103,27/10/2016,American Express,WE151 
AU,10103,10/06/2016,American Express,WE151 
AU,10103,20/12/2016,American Express,WE151 
AU,10103,05/08/2016,American Express,WE151 
US,10107,27/06/2016,Diners Club,NC424 
US,10107,15/06/2016,Diners Club,NC424 
US,10107,20/09/2016,Diners Club,NC424 
US,10107,16/12/2016,Diners Club,NC424 
IT,10111,27/02/2016,Diners Club,NE235 
IT,10111,27/12/2016,Diners Club,NE235 
US,10115,19/04/2016,JCB,SE133 
US,10115,05/08/2016,JCB,SE133 
US,10115,27/03/2016,JCB,SE133 
US,10115,03/11/2016,JCB,SE133 
US,10115,30/11/2016,JCB,SE133 
US,10115,30/03/2016,JCB,SE133 
IT,10119,07/02/2016,JCB,SC196 
IT,10119,30/04/2016,JCB,SC196 
US,10123,25/01/2016,JCB,SW214 
US,10123,15/01/2016,JCB,SW214 
US,10123,30/05/2016,JCB,SW214 
US,10123,15/01/2016,JCB,SW214 
US,10123,29/04/2016,JCB,SW214 
ES,10127,01/04/2016,VISA,SC388 
AU,10131,20/08/2016,Diners Club,RP121 
AU,10131,22/10/2016,Diners Club,RP121 
AU,10131,05/08/2016,Diners Club,RP121 
US,10135,09/10/2016,VISA,SE397 
US,10135,27/07/2016,VISA,SE397 
US,10139,20/12/2016,VISA,SC127 
US,10139,15/01/2016,VISA,SC127 
US,10139,05/08/2016,VISA,SC127 
US,10139,10/08/2016,VISA,SC127 
DE,10147,29/04/2016,JCB,WE154 
DE,10147,20/11/2016,JCB,WE154 
US,10151,27/07/2016,Discover,SW406 
US,10151,03/01/2016,Discover,SW406 
US,10151,15/12/2016,Discover,SW406 
US,10155,10/07/2016,American Express,NW310 
US,10155,10/08/2016,American Express,NW310 
US,10155,20/08/2016,American Express,NW310 
US,10155,25/04/2016,American Express,NW310 
US,10155,15/01/2016,American Express,NW310 
AU,10159,20/12/2016,American Express,RP121 
AU,10159,20/06/2016,American Express,RP121 
AU,10159,12/12/2016,American Express,RP121 
AU,10159,14/11/2016,American Express,RP121 
AU,10159,20/06/2016,American Express,RP121 
US,10163,20/12/2016,Diners Club,SC130 
US,10163,20/07/2016,Diners Club,SC130 
US,10167,09/10/2016,Discover,NE103 
US,10171,30/05/2016,Discover,SC199 
US,10171,23/07/2016,Discover,SC199 
US,10171,19/05/2016,Discover,SC199 
US,10179,07/03/2016,American Express,NC361 
US,10179,25/01/2016,American Express,NC361 
US,10183,15/06/2016,JCB,SW211 
US,10183,10/06/2016,JCB,SW211 
FR,10187,10/07/2016,American Express,NE373 
FR,10187,10/09/2016,American Express,NE373 
FR,10187,09/10/2016,American Express,NE373 
FR,10187,16/12/2016,American Express,NE373 
US,10195,03/11/2016,VISA,NC424 
US,10195,20/09/2016,VISA,NC424 
US,10195,23/07/2016,VISA,NC424 
US,10195,20/12/2016,VISA,NC424 
